red,k,estrategia,delta,tiempo,error
N4C.csv,5,KQNodes,1.0,0.07868552207946777,
N4C.csv,5,KGeoMIP,1.0,0.046973228454589844,
N5A.csv,2,KQNodes,0.0,0.11026668548583984,
N5A.csv,2,KGeoMIP,0.0,0.07084774971008301,
N5A.csv,3,KQNodes,0.0,0.10573172569274902,
N5A.csv,3,KGeoMIP,1.0,0.06174945831298828,
N5A.csv,4,KQNodes,0.0,0.09847140312194824,
N5A.csv,4,KGeoMIP,1.375,0.0434262752532959,
N5A.csv,5,KQNodes,0.5,0.09634184837341309,
N5A.csv,5,KGeoMIP,1.875,0.060645341873168945,
N5B.csv,2,KQNodes,0.5,0.09452939033508301,
N5B.csv,2,KGeoMIP,0.125,0.06324005126953125,
N5B.csv,3,KQNodes,0.5,0.11083221435546875,
N5B.csv,3,KGeoMIP,1.375,0.06267023086547852,
N5B.csv,4,KQNodes,0.625,0.09534978866577148,
N5B.csv,4,KGeoMIP,2.125,0.0784919261932373,
N5B.csv,5,KQNodes,1.125,0.09475302696228027,
N5B.csv,5,KGeoMIP,2.5,0.07921528816223145,
N6A.csv,2,KQNodes,0.484375,0.15971064567565918,
N6A.csv,2,KGeoMIP,0.46875,0.07842159271240234,
N6A.csv,3,KQNodes,1.109375,0.1539781093597412,
N6A.csv,3,KGeoMIP,2.65625,0.08974003791809082,
N6A.csv,4,KQNodes,1.859375,0.16724777221679688,
N6A.csv,4,KGeoMIP,3.0625,0.0684669017791748,
N6A.csv,5,KQNodes,2.296875,0.17681407928466797,
N6A.csv,5,KGeoMIP,3.0625,0.09132671356201172,
N8A.csv,2,KQNodes,0.0,0.39345574378967285,
N8A.csv,2,KGeoMIP,0.0,0.10886764526367188,
N8A.csv,3,KQNodes,0.0,0.3473198413848877,
N8A.csv,3,KGeoMIP,1.0,0.09347867965698242,
N8A.csv,4,KQNodes,0.0,0.3364744186401367,
N8A.csv,4,KGeoMIP,1.5,0.09438276290893555,
N8A.csv,5,KQNodes,0.0,0.3910658359527588,
N8A.csv,5,KGeoMIP,2.0,0.11053705215454102,
N10A.csv,2,KQNodes,0.48046875,0.6687295436859131,
N10A.csv,2,KGeoMIP,0.4697265625,0.1598060131072998,
N10A.csv,3,KQNodes,0.9921875,0.6599891185760498,
N10A.csv,3,KGeoMIP,4.34375,0.1473219394683838,
N10A.csv,4,KQNodes,1.5078125,0.6270952224731445,
N10A.csv,4,KGeoMIP,4.38671875,0.13881969451904297,
N10A.csv,5,KQNodes,2.5078125,0.6210842132568359,
N10A.csv,5,KGeoMIP,4.4140625,0.14555096626281738,
N15A.csv,2,KQNodes,0.13938508927822113,3.096348524093628,
N15A.csv,2,KGeoMIP,0.026790210977196693,3.035346031188965,
N15A.csv,3,KQNodes,0.27879154682159424,3.1219680309295654,
N15A.csv,3,KGeoMIP,0.9988029599189758,2.962144613265991,
N15A.csv,4,KQNodes,0.4182477593421936,3.0959479808807373,
N15A.csv,4,KGeoMIP,1.0008379220962524,2.7929086685180664,
N15A.csv,5,KQNodes,0.5577158331871033,3.0849339962005615,
N15A.csv,5,KGeoMIP,1.0751842260360718,2.778014898300171,
N15B.csv,2,KQNodes,0.0,2.8350255489349365,
N15B.csv,2,KGeoMIP,0.0,2.837921380996704,
N15B.csv,3,KQNodes,0.0,2.891934394836426,
N15B.csv,3,KGeoMIP,0.02277703583240509,3.246760606765747,
N15B.csv,4,KQNodes,0.0,2.8822922706604004,
N15B.csv,4,KGeoMIP,0.037385910749435425,2.8271918296813965,
N15B.csv,5,KQNodes,0.0,2.9079151153564453,
N15B.csv,5,KGeoMIP,0.04526684433221817,3.156777858734131,
N3A.csv,2,KQNodes,0.5,0.14812111854553223,
N3A.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N3A.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N3A.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N3A.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N3A.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N3A.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N3A.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N3B.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N3B.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N3B.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N3B.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N3B.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N3B.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N3B.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N3B.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4A.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4A.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4A.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4A.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4A.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4A.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4A.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4A.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4B.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4B.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4B.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4B.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4B.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4B.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4B.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4B.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4C.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4C.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4C.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4C.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4C.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4C.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N4C.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N4C.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5A.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5A.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5A.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5A.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5A.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5A.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5A.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5A.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5B.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5B.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5B.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5B.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5B.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5B.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N5B.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N5B.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N6A.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N6A.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N6A.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N6A.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N6A.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N6A.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N6A.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N6A.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N8A.csv,2,KQNodes,,,RecursionError: maximum recursion depth exceeded
N8A.csv,2,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N8A.csv,3,KQNodes,,,RecursionError: maximum recursion depth exceeded
N8A.csv,3,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N8A.csv,4,KQNodes,,,RecursionError: maximum recursion depth exceeded
N8A.csv,4,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N8A.csv,5,KQNodes,,,RecursionError: maximum recursion depth exceeded
N8A.csv,5,KGeoMIP,,,RecursionError: maximum recursion depth exceeded
N25A.csv,5,KGeoMIP,,,MemoryError: 
N22A.csv,5,KGeoMIP,11.003893852233887,2140.773204803467,
N25A.csv,2,KQNodes,0.4998137950897217,788.9879322052002,
